Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
Agent Builder,AI Feature,Base,Joule Studio,Easily build Joule agents to automate complex business processes.,Financial Management,,Featured‚Joule,Generally Available,J308,https://discovery-center.cloud.sap/ai-feature/c95490eb-95c3-4b0a-b9ea-08144355d482/
AI-Assisted Calculations,AI Feature,Premium,SAP Analytics Cloud,Generates and explains calculations using natural language.,Financial Management,,,Generally Available,J471,https://discovery-center.cloud.sap/ai-feature/b0112bf9-3bff-4991-b029-44248df82479/
AI-Assisted Commenting,AI Feature,Premium,SAP Analytics Cloud,Summarize existing comments and rephrase new comments when authoring.,Financial Management,,,Generally Available,J275,https://discovery-center.cloud.sap/ai-feature/3a0d3a44-e0c6-42e9-b489-cbbd0c1d1030/
AI-Assisted Search,AI Feature,Premium,SAP Datasphere,Enables natural language search queries directly within in SAP Datasphere.,Technology Platform,,,Generally Available,J108,https://discovery-center.cloud.sap/ai-feature/68658ffa-898f-4e8d-888f-b48e3be618f5/
AI-Assisted Texting,AI Feature,Base,SAP LeanIX solutions,Simplify and standardize text creation by analyzing content and context.,Business Transformation Management,,,Generally Available,J47,https://discovery-center.cloud.sap/ai-feature/86968b11-6426-4749-90c5-39d6711514a7/
Allocation Run Results,AI Feature,Base,SAP S/4HANA Cloud Public Edition,View allocation results attributes and navigate to results app.,Financial Management,,Joule,Generally Available,J1003,https://discovery-center.cloud.sap/ai-feature/58e5fdf9-b00a-414b-97ef-74c65c21b10b/
Analytical Business Insights,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Quickly analyze‚ summarize‚ and turn data into clear insights.,Financial Management,Joule Premium for Financial Management,,Generally Available,J88,https://discovery-center.cloud.sap/ai-feature/864e421f-e2dd-4f84-9aad-ea57294f75fd/
Analytical Insights,AI Feature,Base,Joule,Get analytical insights with natural language from any SAP business application.,Technology Platform,,Joule,Generally Available,J148,https://discovery-center.cloud.sap/ai-feature/b354ca6f-3bbc-43d0-9c83-b3140b925962/
Anomaly Detection,AI Feature,Base,SAP Integration Suite,Identify and respond to unusual patterns or deviations in API traffic.,Technology Platform,,,Generally Available,J606,https://discovery-center.cloud.sap/ai-feature/c1bf4c86-b2bc-4101-b51d-bc5904ff5924/
API traffic prediction,AI Feature,Base,SAP Integration Suite,Identify trends in API calls and predict future API traffic.,Technology Platform,,,Generally Available,J243,https://discovery-center.cloud.sap/ai-feature/f74d29df-40d1-498f-905d-90b7af685799/
Architecture Guidance,AI Feature,Base,SAP LeanIX solutions,Architecture guidance delivers AI-derived insights and assists taking action.,Business Transformation Management,,,Generally Available,J652,https://discovery-center.cloud.sap/ai-feature/5b68ce3e-c6d7-4e5d-a2cd-e137adb01d33/
Back Order Processing,AI Feature,Base,SAP S/4HANA Cloud Public Edition,Faster‚ smarter BOP execution powered by intuitive‚ prompt-driven interactions.,Supply Chain Management,,Joule,Generally Available,J597,https://discovery-center.cloud.sap/ai-feature/88bf4617-8a77-4dfb-8950-fc00a67cc01d/
Behavioral Insights for Contract Accounting,AI Feature,Premium,SAP S/4HANA Cloud Private Edition,Analyze historical customer behavior and predict‚ explain payment risk.,Financial Management,,,Generally Available,J765,https://discovery-center.cloud.sap/ai-feature/9b9439fc-3681-446c-989e-2540e2897331/
Booking Agent,AI Agent,Base,,Streamline trip planning for business travelers.,Technology Platform,,Joule,Generally Available,J650,https://discovery-center.cloud.sap/ai-feature/47844870-d3f6-4ffd-abdf-945d6bc20ae7/
BPMN Simulation Insights,AI Feature,Premium,SAP Signavio solutions,Transform simulation results into AI-powered insights for faster decisions.,Business Transformation Management,,Joule,Generally Available,J1143,https://discovery-center.cloud.sap/ai-feature/45016b64-67d3-457e-a836-9ac08b193722/
Central Governance,AI Feature,Base,SAP S/4HANA Cloud for master data governance‚ private edition,Streamline master data governance tasks using natural language.,Cloud ERP applications,,Joule,Generally Available,J535,https://discovery-center.cloud.sap/ai-feature/a0399e7f-e105-40a9-9169-d63e768735b8/
Chart Summary,AI Feature,Premium,SAP Analytics Cloud,Summarizes a SAP Analytics Cloud chart as text in Microsoft PowerPoint.,Financial Management,,,Generally Available,J139,https://discovery-center.cloud.sap/ai-feature/825764c4-6de1-4789-bd0c-74243c60854b/
Configuration for US Tax Jurisdictions,AI Feature,Premium,SAP S/4HANA Cloud Public Edition,Simplify tax maintenance for the internal sales & use tax solution for the US.,Financial Management,Joule Premium for Financial Management,,Generally Available,J89,https://discovery-center.cloud.sap/ai-feature/e547d658-368e-426f-986e-97e574bfb475/
Content Creation and Summary,AI Feature,Base,SAP Build Work Zone‚ advanced edition,Generate‚ summarize & comment with AI to increase content creation efficiency.,Technology Platform,,,Generally Available,J202,https://discovery-center.cloud.sap/ai-feature/39ef0f64-fc3b-4420-92ee-fa5e052d486b/
